ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-01,295.15613400000007,277.1746045043099,314.60918297320245,295.15613400000007,295.15613400000007,0.8308277784362035,0.8308277784362035,0.8308277784362035,0.8308277784362035,0.8308277784362035,0.8308277784362035,0.0,0.0,0.0,295.9869617784363
2024-06-02,294.29339836734704,276.15459539514853,311.00128767171725,294.29339836734704,294.29339836734704,-0.3495057931674622,-0.3495057931674622,-0.3495057931674622,-0.3495057931674622,-0.3495057931674622,-0.3495057931674622,0.0,0.0,0.0,293.9438925741796
2024-06-03,293.43066273469395,274.429561842761,310.3144025853701,293.43066273469395,293.43066273469395,-1.0466504187746277,-1.0466504187746277,-1.0466504187746277,-1.0466504187746277,-1.0466504187746277,-1.0466504187746277,0.0,0.0,0.0,292.38401231591934
2024-06-04,292.56792710204087,274.3233544317011,310.60782493695484,292.56792710204087,292.56792710204087,-0.19251874727869164,-0.19251874727869164,-0.19251874727869164,-0.19251874727869164,-0.19251874727869164,-0.19251874727869164,0.0,0.0,0.0,292.37540835476216
2024-06-05,291.70519147047816,273.9779894657734,310.09123759632416,291.70519147047816,291.70519147047816,0.23807122017307772,0.23807122017307772,0.23807122017307772,0.23807122017307772,0.23807122017307772,0.23807122017307772,0.0,0.0,0.0,291.94326269065124
2024-06-06,290.8424558389154,273.66643080583066,309.1715756552663,290.8424558389154,290.8424558389154,0.026502141342860573,0.026502141342860573,0.026502141342860573,0.026502141342860573,0.026502141342860573,0.026502141342860573,0.0,0.0,0.0,290.86895798025824
2024-06-07,289.97972020735267,272.2951882142506,308.21015993965307,289.97972020735267,289.97972020735267,0.49327381926898384,0.49327381926898384,0.49327381926898384,0.49327381926898384,0.49327381926898384,0.49327381926898384,0.0,0.0,0.0,290.4729940266217
2024-06-08,289.1169845762833,272.38059576675647,308.79979303202913,289.1169845762833,289.1169845762833,0.830827778435925,0.830827778435925,0.830827778435925,0.830827778435925,0.830827778435925,0.830827778435925,0.0,0.0,0.0,289.94781235471925
2024-06-09,288.254248945214,270.8865506769416,305.19842758643995,288.254248945214,288.254248945214,-0.34950579316860503,-0.34950579316860503,-0.34950579316860503,-0.34950579316860503,-0.34950579316860503,-0.34950579316860503,0.0,0.0,0.0,287.9047431520454
2024-06-10,287.39151331414473,267.58104690510146,304.6200169576832,287.39151331414473,287.39151331414473,-1.0466504187744954,-1.0466504187744954,-1.0466504187744954,-1.0466504187744954,-1.0466504187744954,-1.0466504187744954,0.0,0.0,0.0,286.3448628953702
2024-06-11,286.5287776835671,268.4013874632715,304.6323941076018,286.5287776835671,286.5287776835671,-0.1925187472780552,-0.1925187472780552,-0.1925187472780552,-0.1925187472780552,-0.1925187472780552,-0.1925187472780552,0.0,0.0,0.0,286.3362589362891
2024-06-12,285.66604205298955,268.4931226474659,304.3552118887026,285.66604205298955,285.66604205298955,0.23807122017354299,0.23807122017354299,0.23807122017354299,0.23807122017354299,0.23807122017354299,0.23807122017354299,0.0,0.0,0.0,285.9041132731631
2024-06-13,284.80330642241194,265.3267786626924,302.9346843954476,284.80330642241194,284.80330642241194,0.02650214134286878,0.02650214134286878,0.02650214134286878,0.02650214134286878,0.02650214134286878,0.02650214134286878,0.0,0.0,0.0,284.8298085637548
2024-06-14,283.940570791633,266.0331152216684,302.6466101027862,283.940570791633,283.940570791633,0.4932738192695297,0.4932738192695297,0.4932738192695297,0.4932738192695297,0.4932738192695297,0.4932738192695297,0.0,0.0,0.0,284.4338446109025
2024-06-15,283.07783516085397,264.6695412330305,302.0830976330879,283.07783516085397,283.07783516085397,0.830827778435424,0.830827778435424,0.830827778435424,0.830827778435424,0.830827778435424,0.830827778435424,0.0,0.0,0.0,283.9086629392894
2024-06-16,282.215361185675,263.3343370500714,299.8942151583705,282.215361185675,282.215361185675,-0.3495057931694478,-0.3495057931694478,-0.3495057931694478,-0.3495057931694478,-0.3495057931694478,-0.3495057931694478,0.0,0.0,0.0,281.8658553925056
