ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-01,354.8162934285714,325.12224018727164,381.1465305984652,354.8162934285714,354.8162934285714,-0.5629101133619496,-0.5629101133619496,-0.5629101133619496,-0.5629101133619496,-0.5629101133619496,-0.5629101133619496,0.0,0.0,0.0,354.2533833152094
2024-06-02,354.16666158241753,325.6773713983761,383.1627846256693,354.16666158241753,354.16666158241753,0.18545228700006958,0.18545228700006958,0.18545228700006958,0.18545228700006958,0.18545228700006958,0.18545228700006958,0.0,0.0,0.0,354.3521138694176
2024-06-03,353.51702973626374,325.6846814220854,384.78679181197367,353.51702973626374,353.51702973626374,0.4892778374920692,0.4892778374920692,0.4892778374920692,0.4892778374920692,0.4892778374920692,0.4892778374920692,0.0,0.0,0.0,354.0063075737558
2024-06-04,352.8673978901098,325.3848547907226,381.22182390000285,352.8673978901098,352.8673978901098,0.5195215344414403,0.5195215344414403,0.5195215344414403,0.5195215344414403,0.5195215344414403,0.5195215344414403,0.0,0.0,0.0,353.38691942455125
2024-06-05,352.21776604338265,324.1533940911142,381.80947416219,352.21776604338265,352.21776604338265,0.24694446947348503,0.24694446947348503,0.24694446947348503,0.24694446947348503,0.24694446947348503,0.24694446947348503,0.0,0.0,0.0,352.46471051285613
2024-06-06,351.56813419665554,322.2765786567797,380.22384602505736,351.56813419665554,351.56813419665554,0.09383307842961977,0.09383307842961977,0.09383307842961977,0.09383307842961977,0.09383307842961977,0.09383307842961977,0.0,0.0,0.0,351.66196727508515
2024-06-07,350.9185023499284,320.5874001266534,379.4191713854787,350.9185023499284,350.9185023499284,-0.9721190934716424,-0.9721190934716424,-0.9721190934716424,-0.9721190934716424,-0.9721190934716424,-0.9721190934716424,0.0,0.0,0.0,349.9463832564568
2024-06-08,350.2688705026363,321.4488922902191,379.9145423939256,350.2688705026363,350.2688705026363,-0.5629101133606662,-0.5629101133606662,-0.5629101133606662,-0.5629101133606662,-0.5629101133606662,-0.5629101133606662,0.0,0.0,0.0,349.7059603892756
2024-06-09,349.6192386553442,319.43526453205993,378.5937963380762,349.6192386553442,349.6192386553442,0.18545228699970975,0.18545228699970975,0.18545228699970975,0.18545228699970975,0.18545228699970975,0.18545228699970975,0.0,0.0,0.0,349.8046909423439
2024-06-10,348.9696068080521,320.4489936922027,376.48091619879995,348.9696068080521,348.9696068080521,0.48927783749176984,0.48927783749176984,0.48927783749176984,0.48927783749176984,0.48927783749176984,0.48927783749176984,0.0,0.0,0.0,349.4588846455439
2024-06-11,348.3199749612311,321.03314759264924,376.8952761409757,348.3199749612311,348.3199749612311,0.5195215344407065,0.5195215344407065,0.5195215344407065,0.5195215344407065,0.5195215344407065,0.5195215344407065,0.0,0.0,0.0,348.83949649567177
2024-06-12,347.67034311441006,317.68023081867796,374.7618845158898,347.67034311441006,347.67034311441006,0.24694446947378032,0.24694446947378032,0.24694446947378032,0.24694446947378032,0.24694446947378032,0.24694446947378032,0.0,0.0,0.0,347.9172875838838
2024-06-13,347.02071126758904,319.72153454046423,375.57002724139,347.02071126758904,347.02071126758904,0.09383307842902416,0.09383307842902416,0.09383307842902416,0.09383307842902416,0.09383307842902416,0.09383307842902416,0.0,0.0,0.0,347.1145443460181
2024-06-14,346.37107942060544,315.67550782099926,376.08487076421125,346.37107942060544,346.37107942060544,-0.9721190934724037,-0.9721190934724037,-0.9721190934724037,-0.9721190934724037,-0.9721190934724037,-0.9721190934724037,0.0,0.0,0.0,345.398960327133
2024-06-15,345.7214475736218,315.4719807554397,373.0857622826999,345.7214475736218,345.7214475736218,-0.5629101133612905,-0.5629101133612905,-0.5629101133612905,-0.5629101133612905,-0.5629101133612905,-0.5629101133612905,0.0,0.0,0.0,345.1585374602605
2024-06-16,345.0718157265286,317.20654089269283,372.70731221578353,345.0718157265286,345.0718157265286,0.1854522870016799,0.1854522870016799,0.1854522870016799,0.1854522870016799,0.1854522870016799,0.1854522870016799,0.0,0.0,0.0,345.2572680135303
2024-06-17,344.4221838794353,315.5639192504188,371.3634217326007,344.4221838794353,344.4221838794353,0.48927783749147036,0.48927783749147036,0.48927783749147036,0.48927783749147036,0.48927783749147036,0.48927783749147036,0.0,0.0,0.0,344.91146171692674
2024-06-18,343.77255203234205,313.6340519356458,371.3966384075421,343.77255203234205,343.77255203234205,0.5195215344410894,0.5195215344410894,0.5195215344410894,0.5195215344410894,0.5195215344410894,0.5195215344410894,0.0,0.0,0.0,344.29207356678313
2024-06-19,343.12292018532963,314.4123542501196,372.0482017120039,343.12292018532963,343.12292018532963,0.2469444694735828,0.2469444694735828,0.2469444694735828,0.2469444694735828,0.2469444694735828,0.2469444694735828,0.0,0.0,0.0,343.3698646548032
2024-06-20,342.47328833831716,313.27410474720483,372.1966045274623,342.47328833831716,342.47328833831716,0.09383307842847251,0.09383307842847251,0.09383307842847251,0.09383307842847251,0.09383307842847251,0.09383307842847251,0.0,0.0,0.0,342.56712141674564
2024-06-21,341.8236564913048,312.2864286818904,371.70160524164214,341.8236564913048,341.8236564913048,-0.9721190934726108,-0.9721190934726108,-0.9721190934726108,-0.9721190934726108,-0.9721190934726108,-0.9721190934726108,0.0,0.0,0.0,340.8515373978322
2024-06-22,341.1758216087696,312.6860651419927,369.4858140563604,341.1758216087696,341.1758216087696,-0.5629101133600071,-0.5629101133600071,-0.5629101133600071,-0.5629101133600071,-0.5629101133600071,-0.5629101133600071,0.0,0.0,0.0,340.61291149540955
2024-06-23,340.5279867262344,313.2643166132949,369.44934732639894,340.5279867262344,340.5279867262344,0.1854522869983462,0.1854522869983462,0.1854522869983462,0.1854522869983462,0.1854522869983462,0.1854522869983462,0.0,0.0,0.0,340.71343901323274
2024-06-24,339.8801518436992,311.5925285238025,369.3720418439633,339.8801518436992,339.8801518436992,0.48927783749117093,0.48927783749117093,0.48927783749117093,0.48927783749117093,0.48927783749117093,0.48927783749117093,0.0,0.0,0.0,340.36942968119035
2024-06-25,339.23233198570915,312.6834940649331,368.2768243576282,339.23233198570915,339.23233198570915,0.5195215344403553,0.5195215344403553,0.5195215344403553,0.5195215344403553,0.5195215344403553,0.5195215344403553,0.0,0.0,0.0,339.7518535201495
2024-06-26,338.5845121277192,308.74423414085925,367.85019563394206,338.5845121277192,338.5845121277192,0.24694446947385992,0.24694446947385992,0.24694446947385992,0.24694446947385992,0.24694446947385992,0.24694446947385992,0.0,0.0,0.0,338.8314565971931
2024-06-27,337.9366922697292,311.3966929059702,369.49380135145975,337.9366922697292,337.9366922697292,0.09383307842783295,0.09383307842783295,0.09383307842783295,0.09383307842783295,0.09383307842783295,0.09383307842783295,0.0,0.0,0.0,338.030525348157
