ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-09,273.2846005214109,255.2109906673029,295.1963572922787,273.2846005214109,273.2846005214109,0.8412261928594291,0.8412261928594291,0.8412261928594291,0.8412261928594291,0.8412261928594291,0.8412261928594291,0.0,0.0,0.0,274.1258267142703
2024-06-10,273.00107244173535,254.01459925221047,293.5045459280706,273.00107244173535,273.00107244173535,1.033217460588897,1.033217460588897,1.033217460588897,1.033217460588897,1.033217460588897,1.033217460588897,0.0,0.0,0.0,274.03428990232425
2024-06-11,272.7176529871826,254.85492142902126,296.02201838586814,272.7176529871826,272.7176529871826,1.0791905249454885,1.0791905249454885,1.0791905249454885,1.0791905249454885,1.0791905249454885,1.0791905249454885,0.0,0.0,0.0,273.7968435121281
2024-06-12,272.4342335326299,252.72560519716413,292.52015424476815,272.4342335326299,272.4342335326299,-0.08502161149211818,-0.08502161149211818,-0.08502161149211818,-0.08502161149211818,-0.08502161149211818,-0.08502161149211818,0.0,0.0,0.0,272.3492119211378
2024-06-13,272.15081407807713,251.3479602759019,291.2155690957143,272.15081407807713,272.15081407807713,-0.9661041617133943,-0.9661041617133943,-0.9661041617133943,-0.9661041617133943,-0.9661041617133943,-0.9661041617133943,0.0,0.0,0.0,271.1847099163637
2024-06-14,271.86774304633127,252.1944104102446,290.4037281989034,271.86774304633127,271.86774304633127,-1.8724627369119906,-1.8724627369119906,-1.8724627369119906,-1.8724627369119906,-1.8724627369119906,-1.8724627369119906,0.0,0.0,0.0,269.9952803094193
2024-06-15,271.58467201458546,251.48158651840018,291.5993168976231,271.58467201458546,271.58467201458546,-0.030045668272299795,-0.030045668272299795,-0.030045668272299795,-0.030045668272299795,-0.030045668272299795,-0.030045668272299795,0.0,0.0,0.0,271.55462634631317
2024-06-16,271.3024493179793,253.92692300033713,292.77262292629325,271.3024493179793,271.3024493179793,0.8412261928623689,0.8412261928623689,0.8412261928623689,0.8412261928623689,0.8412261928623689,0.8412261928623689,0.0,0.0,0.0,272.1436755108417
2024-06-17,271.0202266213732,251.57821609231732,291.57511746866965,271.0202266213732,271.0202266213732,1.0332174605883377,1.0332174605883377,1.0332174605883377,1.0332174605883377,1.0332174605883377,1.0332174605883377,0.0,0.0,0.0,272.0534440819615
2024-06-18,270.7380039247671,252.68864665425272,293.6128972218634,270.7380039247671,270.7380039247671,1.079190524946892,1.079190524946892,1.079190524946892,1.079190524946892,1.079190524946892,1.079190524946892,0.0,0.0,0.0,271.817194449714
2024-06-19,270.45900996524733,249.967378210269,291.274425147134,270.45900996524733,270.45900996524733,-0.0850216114932989,-0.0850216114932989,-0.0850216114932989,-0.0850216114932989,-0.0850216114932989,-0.0850216114932989,0.0,0.0,0.0,270.37398835375404
2024-06-20,270.18001600572757,250.66415538035332,289.55265702995655,270.18001600572757,270.18001600572757,-0.9661041617144506,-0.9661041617144506,-0.9661041617144506,-0.9661041617144506,-0.9661041617144506,-0.9661041617144506,0.0,0.0,0.0,269.2139118440131
2024-06-21,269.9010220462078,248.19351899517218,288.2567358142956,269.9010220462078,269.9010220462078,-1.8724627369113074,-1.8724627369113074,-1.8724627369113074,-1.8724627369113074,-1.8724627369113074,-1.8724627369113074,0.0,0.0,0.0,268.0285593092965
2024-06-22,269.6252397246221,249.75736946198063,288.94322799179787,269.6252397246221,269.6252397246221,-0.03004566826990559,-0.03004566826990559,-0.03004566826990559,-0.03004566826990559,-0.03004566826990559,-0.03004566826990559,0.0,0.0,0.0,269.59519405635217
2024-06-23,269.34945740303635,249.78256252282904,289.97686569044487,269.34945740303635,269.34945740303635,0.8412261928588906,0.8412261928588906,0.8412261928588906,0.8412261928588906,0.8412261928588906,0.8412261928588906,0.0,0.0,0.0,270.1906835958952
